med_name,med_manufacturer,components,comp
LETOZIS TABLET ,AKESISS PHARMA PVT LTD ,Letrozole 2.5 MG,
LETOJET 2.5MG TABLET ,STARUS PHARMACEUTICALS ,Letrozole 2.5 MG,
LETOSURE 2.5MG TABLET ,JAY ELL HEALTHCARE PVT LTD ,Letrozole 2.5 MG,
LETOCOR 2.5MG TABLET ,CHANDRA BHAGAT PHARMA PVT LTD ,Letrozole 2.5 MG,
LETPRO 2.5MG TABLET ,ARISTO ,Letrozole 2.5 MG,
LETROZ TABLET ,SUN PHARMACEUTICAL INDUSTRIES LTD ,Letrozole 2.5 MG,
LETRONAT 2.5MG TABLET ,NATCO ,Letrozole 2.5 MG,
LETROFIL TABLET ,FOURRTS INDIA LABS PVT LTD ,Letrozole 2.5 MG,
 LETROMAC TABLET ,MACLEODS PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
LETRONEX 2.5MG TABLET ,ZOGENIX HEALTHCARE ,Letrozole 2.5 MG,
LETRUST 2.5MG TABLET ,SYNERGY PHARMACEUTICALS ,Letrozole 2.5 MG,
LETROHOPE 2.5MG TABLET ,MANKIND ,Letrozole 2.5 MG,
LETROFER 2.5MG TABLET ,NASK PHARMA ,Letrozole 2.5 MG,
LETROBEST 2.5MG TABLET ,BESTEL LABORATORIES PVT LTD ,Letrozole 2.5 MG,
LETROMET 2.5MG TABLET ,GOLDLINE ,Letrozole 2.5 MG,
LETS 2.5MG TABLET ,SAMARTH ,Letrozole 2.5 MG,
LETROLIFE 2.5MG TABLET ,ABBOTT ,Letrozole 2.5 MG,
LETSURE 2.5MG TABLET ,ASTRAEA LIFE SCIENCES PVT LTD ,Letrozole 2.5 MG,
LETZOL 2.5MG TABLET ,CHANDRA BHAGAT PHARMA PVT LTD ,Letrozole 2.5 MG,
LETZOOM 2.5MG TABLET ,SAI LIFE SCIENCES ,Letrozole 2.5 MG,
LETSI 2.5MG TABLET ,SERUM INSTITUTE ,Letrozole 2.5 MG,
LUTROZOLE TABLET ,LUPIN LTD ,Letrozole 2.5 MG,
NEWOVA 2.5MG TABLET ,AKUMENTIS HEALTHCARE LTD ,Letrozole 2.5 MG,
MACOVA 2.5MG TABLET ,GYNOFEM HEALTHCARE ,Letrozole 2.5 MG,
MAMAZOL TABLET ,KHANDELWAL LABORATORIES PVT LTD ,Letrozole 2.5 MG,
MAXLETRO 2.5MG TABLET ,CURADOR HEALTHCARE ,Letrozole 2.5 MG,
ONCOLET 2.5 TABLET ,BIOCHEM ,Letrozole 2.5 MG,
ORETA 2.5MG TABLET ,DR REDDYS LABORATORIES LTD ,Letrozole 2.5 MG,
 OVAFREE L TABLET ,VASU ORGANICS ,Letrozole 2.5 MG,
OVA PLUS L 2.5MG TABLET ,LIVEON HEALTHCARE ,Letrozole 2.5 MG,
OVULET 2.5MG TABLET ,BHARAT SERUM ,Letrozole 2.5 MG,
PINKLETRO 2.5MG TABLET ,J S LABORATORIES ,Letrozole 2.5 MG,
STIMUFOL TABLET ,INTAS PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
STIMUFOL 2.5MG TABLET ,INTAS PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
Q ZOLE 2.5MG TABLET ,QRS HEALTHCARE ,Letrozole 2.5 MG,
REQUEEN ACT L TABLET ,CHARITRA PHARMA ,Letrozole 2.5 MG,
SISTRO 2.5MG TABLET ,TRITON HEALTHCARE ,Letrozole 2.5 MG,
SMARTOVA L 2.5MG TABLET ,PHARMANOVA INDIA DRUGS PVT LTD ,Letrozole 2.5 MG,
SOLOVA 2.5MG TABLET ,SAMBRIK MEDISCIENCES PVT LTD ,Letrozole 2.5 MG,
STIMULET 2.5MG TABLET ,CORONA REMEDIES PVT LTD ,Letrozole 2.5 MG,
CORFLM 500MG TABLET ,CADILA PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
COTIL 500MG TABLET ,FUTURE DERMACARE PVT LTD ,Cefuroxime 500 MG,
COVATIL 500MG TABLET ,MACLEODS PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
CRESTUM 500MG TABLET ,ELFIN PHARMA PVT LTD ,Cefuroxime 500 MG,
CROXITE 500MG TABLET ,CRONUS ,Cefuroxime 500 MG,
CUROTIL 500MG TABLET ,IVA HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
CUTEN 500MG TABLET ,NUTRICORP HEALTHCARE ,Cefuroxime 500 MG,
CUXIM 500MG TABLET ,CUBIT HEALTHCARE ,Cefuroxime 500 MG,
C FURO 500MG TABLET ,GENIX PHARMA ,Cefuroxime 500 MG,
DERICEF 500MG TABLET ,PSYCOREMEDIES ,Cefuroxime 500 MG,
DOXZIM 500MG TABLET ,ZODAK HEALTHCARE ,Cefuroxime 500 MG,
DRUXIM 500MG TABLET ,DRUKST BIOTECH PVT LTD ,Cefuroxime 500 MG,
COLESCEF 500MG TABLET ,SHILPEX PHARMYSIS ,Cefuroxime 500 MG,
FERVAY 500MG TABLET ,BIOCON LIMITED ,Cefuroxime 500 MG,
FORCEF 500MG TABLET ,ARISTO ,Cefuroxime 500 MG,
FORU-500MG TABLET ,BAYER PHARMACEUTICALS PVT LTD ,Cefuroxime 500 MG,
FORUM 500MG TABLET ,MONOKEM LABS ,Cefuroxime 500 MG,
FOXIM 500MG TABLET ,ALSUN PHARMA ,Cefuroxime 500 MG,
FUCEF 500MG TABLET ,SOLITAIRE PHARMACIA PVT LTD ,Cefuroxime 500 MG,
FUNZI 500MG TABLET ,CORONA REMEDIES PVT LTD ,Cefuroxime 500 MG,
 FURION 500MG TABLET ,ORION BIOTECH PVT LTD ,Cefuroxime 500 MG,
FUROBID 500MG TABLET ,ALEMBIC PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
FUROKIN 500MG TABLET ,ACEKINETICS HEALTHCARE ,Cefuroxime 500 MG,
FUROMAX 500MG TABLET ,BIOMAX BIOTECHNICS ,Cefuroxime 500 MG,
FUROWAY 500MG TABLET ,NEXTWA INDIA ,Cefuroxime 500 MG,
FUROMIN 500MG TABLET ,FARLEX PHARMA ,Cefuroxime 500 MG,
FUROTIL 500MG TABLET ,GRAF LABS ,Cefuroxime 500 MG,
FUROROSS 500MG TABLET ,EMAMI FRANK ROSS LTD ,Cefuroxime 500 MG,
FUROX 500MG TABLET ,MAPRA LABS ,Cefuroxime 500 MG,
FUROMARK 500MG TABLET ,MARK REMEDIES PVT LTD ,Cefuroxime 500 MG,
FUROXIME 500MG TABLET ,FAITH PHARMA ,Cefuroxime 500 MG,
FURY 500MG TABLET ,MELODY HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
FUTUM 500MG TABLET ,SCOTT EDIL ,Cefuroxime 500 MG,
FUZIM 500MG TABLET ,AVAL PHARMA ,Cefuroxime 500 MG,
FXM 500MG TABLET ,EMDRIX PHARMA ,Cefuroxime 500 MG,
FYDOROXIM 500MG TABLET ,XIEON LIFE SCIENCES ,Cefuroxime 500 MG,
GAMCEF 500MG TABLET ,INNOVEXIA LIFE SCIENCES PVT LTD ,Cefuroxime 500 MG,
GAXIM 500MG TABLET ,SNU BIOCARE ,Cefuroxime 500 MG,
GENOROX 500MG TABLET ,GENO PHARMA ,Cefuroxime 500 MG,
GENURAX 500MG TABLET ,GENFO BIOCEUTICALS PVT LTD ,Cefuroxime 500 MG,
 GERICEF 500MG TABLET ,GERRYSUN PHARMA ,Cefuroxime 500 MG,
GERTUM 500MG TABLET ,ZYDUS HEALTHCARE LTD ,Cefuroxime 500 MG,
DUCATI 500MG TABLET ,SLANEY HEALTHCARE ,Cefuroxime 500 MG,
DUTACEF 500MG TABLET ,ALBUS HEALTHCARE ,Cefuroxime 500 MG,
EFEFZY 500MG TABLET ,ZEE LABORATORIES LTD ,Cefuroxime 500 MG,
EFFECTIVE 500MG TABLET ,SERBIA MOLECULES PVT LTD ,Cefuroxime 500 MG,
EFREX 500MG TABLET ,RESOLUTE HEALTHCARE ,Cefuroxime 500 MG,
EFUROX 500MG TABLET ,TRIO REMEDIES PVT LTD ,Cefuroxime 500 MG,
ENDUROX 500MG TABLET ,FOUNTIL LIFE SCIENCES PVT LTD ,Cefuroxime 500 MG,
ENGEL 500MG TABLET ,BLUE CROSS ,Cefuroxime 500 MG,
ENXIM 500MG TABLET ,ZEE LABORATORIES LTD ,Cefuroxime 500 MG,
EUCEFROX 500MG TABLET ,EUGENICS MEDICARE PVT LTD ,Cefuroxime 500 MG,
EVERCEF 500MG TABLET ,MANO ,Cefuroxime 500 MG,
EXEPTION 500 MG TABLET ,ADCOCK INGRAM HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
EXL 500MG TABLET ,MEDICOWIN REMEDIES ,Cefuroxime 500 MG,
FALOX 500MG TABLET ,SIGNITY PHARMA ,Cefuroxime 500 MG,
FECEFTIL 500MG TABLET ,ALRIC BIO MEDICS ,Cefuroxime 500 MG,
FECTIBOON 500MG TABLET ,EMENOX HEALTHCARE ,Cefuroxime 500 MG,
AURAXIME 500MG TABLET ,AAURA CARE PHARMA ,Cefuroxime 500 MG,
AXACEF 500MG TABLET ,SAIMIRA ,Cefuroxime 500 MG,
 AXEPTIL 500MG TABLET ,EMAR HEALTH CARE ,Cefuroxime 500 MG,
AXE 500MG TABLET ,ALPIC REMEDIES ,Cefuroxime 500 MG,
AXIFUR 500MG TABLET ,CITADEL ,Cefuroxime 500 MG,
AXILENT 500MG TABLET ,STADCHEM OF INDIA ,Cefuroxime 500 MG,
AYUCEF 500MG TABLET ,VESTAL HEALTHCARE ,Cefuroxime 500 MG,
AYUCET 500MG TABLET ,VESTAL HEALTHCARE ,Cefuroxime 500 MG,
BAROCEF 500MG TABLET ,BARODA PHARMA ,Cefuroxime 500 MG,
BENCEF 500MG TABLET ,INNOVATIVE PHARMA ,Cefuroxime 500 MG,
BIAXE 500MG TABLET ,SUPERMAX DRUGS AND PHARMACEUTICALS PVT LTD ,Cefuroxime 500 MG,
BIGCEF 500MG TABLET ,BESTOCHEM FORMULATION ,Cefuroxime 500 MG,
BIOCEFU 500MG TABLET ,VALCRET LIFESCIENCES ,Cefuroxime 500 MG,
BUFRIX 500MG TABLET ,TICOMA PHARMACIA ,Cefuroxime 500 MG,
AAXIM 500MG TABLET ,AARPIK PHARMA ,Cefuroxime 500 MG,
ABACTUM 500MG TABLET ,ABARIS HEALTHCARE ,Cefuroxime 500 MG,
ABISEF 500MG TABLET ,ABIBA PHARMACIA PVT LTD ,Cefuroxime 500 MG,
ACEF 500MG TABLET ,ALKA PHARMACEUTICALS ,Cefuroxime 500 MG,
ACF 500MG TABLET ,DUKES LAB ,Cefuroxime 500 MG,
ACITILL 500MG TABLET ,GENEKA HEALTH CARE ,Cefuroxime 500 MG,
ACTUM 500MG TABLET ,ALICON PHARMA ,Cefuroxime 500 MG,
ADALCEF 500MG TABLET ,ADALBERT HEALTH CARE PVT LTD ,Cefuroxime 500 MG,
 ADEXIM 500MG TABLET ,ADMAC PHARMA ,Cefuroxime 500 MG,
ADVICEF 500MG TABLET ,ADVENTIA INNOPHARMA PVT LTD ,Cefuroxime 500 MG,
AGROCEF 500MG TABLET ,AGRON REMEDIES ,Cefuroxime 500 MG,
AKSICEF 500MG TABLET ,MUCOS PHARMA ,Cefuroxime 500 MG,
AKUCEF 500MG TABLET ,AKUMENTIS HEALTHCARE LTD ,Cefuroxime 500 MG,
ALLSEF 500MG TABLET ,HAMPS BIO PVT LTD ,Cefuroxime 500 MG,
ALPHACIN 500MG TABLET ,GOLDLINE ,Cefuroxime 500 MG,
ALTACEF 500MG TABLET ,GLENMARK PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
ANBID 500MG TABLET ,RUFFELS ,Cefuroxime 500 MG,
AQUACEF 500MG TABLET ,AVIN PHARMACEUTICALS ,Cefuroxime 500 MG,
ATHXIM O 500MG TABLET ,ATHENS LAB ,Cefuroxime 500 MG,
ACTOCEF 500 TABLET ,SPECTRUM LIFE SCIENCES ,Cefuroxime 500 MG,
AUCEE 500MG TABLET ,WINSOME LABORATORY LTD ,Cefuroxime 500 MG,
AUFFCEF 500MG TABLET ,FLUENSE PHARMACEUTICAL ,Cefuroxime 500 MG,
AUGXETIL 500MG TABLET ,KOYE PHARMACEUTICALS PVT LTD ,Cefuroxime 500 MG,
CAT XP 500MG TABLET ,AERAN LAB INDIA ,Cefuroxime 500 MG,
CEFAKIND 500MG TABLET ,MANKIND ,Cefuroxime 500 MG,
CEFASYN 500MG TABLET ,CIPLA ,Cefuroxime 500 MG,
CEFAXE 500MG TABLET ,PHARMCURE HEALTH CARE ,Cefuroxime 500 MG,
CEFATAK 500MG TABLET ,PHARMTAK OPTHALAMICS INDIA PVT LTD ,Cefuroxime 500 MG,
 CEFAPRIME 500MG TABLET ,LEEFORD HEALTHCARE ,Cefuroxime 500 MG,
CEFAHEAD 500MG TABLET ,LYKA LABS LTD ,Cefuroxime 500 MG,
CEFABLAST 500MG TABLET ,MANKIND ,Cefuroxime 500 MG,
CEFAXIL 500MG TABLET ,LARK ,Cefuroxime 500 MG,
CEFAR 500MG TABLET ,CYNO PHARMA ,Cefuroxime 500 MG,
CEFAM 500MG TABLET ,ADLEY FORMULATIONS ,Cefuroxime 500 MG,
CEFACE 500MG TABLET ,PARENTERAL DRUGS INDIA LTD ,Cefuroxime 500 MG,
CEFACTIN 500MG TABLET ,GLENMARK PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
CEFASOM 500MG TABLET ,UMANO HEALTHCARE ,Cefuroxime 500 MG,
CEFBIOTIC 500MG TABLET ,ZYDICA HEALTHCARE ,Cefuroxime 500 MG,
CEFBET 500MG TABLET ,ZYPHARS PHARMACEUTICS PVT LTD ,Cefuroxime 500 MG,
CEFCIS 500MG TABLET ,GLOBUS REMEDIES LTD ,Cefuroxime 500 MG,
CEFDOVE 500MG TABLET ,SH PHARMACEUTICALS PVT LTD ,Cefuroxime 500 MG,
CEFEXL 500MG TABLET ,ACTIVE HEALTHCARE ,Cefuroxime 500 MG,
CEFENOX 500MG TABLET ,POLLEN HEALTHCURE PVT LTD ,Cefuroxime 500 MG,
CEFENTA 500MG TABLET ,PUNJAB FORMULATIONS ,Cefuroxime 500 MG,
CEFHEAL 500MG TABLET ,MASCOT HEALTHSERIES PVT LTD ,Cefuroxime 500 MG,
CEFIXA 500MG TABLET ,MHS PHARMACEUTICALS ,Cefuroxime 500 MG,
CEFIALFA 500MG TABLET ,ALNICHE LIFE SCIENCES ,Cefuroxime 500 MG,
CEFIYA 500MG TABLET ,KAVYA HEALTHCARE ,Cefuroxime 500 MG,
 CEFIMUN 500MG TABLET ,INTELLECT LIFE SCIENCES PVT LTD ,Cefuroxime 500 MG,
CEFIPAR 500MG TABLET ,BIOZEN PHARMA ,Cefuroxime 500 MG,
CEFKING 500MG TABLET ,ERGOS LIFE SCIENCES ,Cefuroxime 500 MG,
CEFLET 500MG TABLET ,IKON REMEDIES PVT LTD ,Cefuroxime 500 MG,
CEFMEND 500MG TABLET ,SANADOR HEALTHCARE ,Cefuroxime 500 MG,
CEFMIC 500MG TABLET ,MICRON BIOTECH ,Cefuroxime 500 MG,
CEFNEXT 500MG TABLET ,CERSPIN HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
CEFOXIM 500MG TABLET ,BIOCHEM ,Cefuroxime 500 MG,
CEFOPRIM 500MG TABLET ,UNITED BIOTECH PVT LTD ,Cefuroxime 500 MG,
CEFOPRIT 500MG TABLET ,UNITED BIOTECH PVT LTD ,Cefuroxime 500 MG,
CEFOB 500MG TABLET ,SYSTEMIC HEALTHCARE ,Cefuroxime 500 MG,
CEFORANGE A 500MG TABLET ,MACMILLON PHARMACEUTICALS ,Cefuroxime 500 MG,
CEFPIL 500MG TABLET ,PIL ,Cefuroxime 500 MG,
CEFROTUX 500MG TABLET ,CADILA PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
CEFROX 500MG TABLET ,SAIN MEDICAMENTS PVT LTD ,Cefuroxime 500 MG,
CEFROHIT 500MG TABLET ,CURAXIS HEALTHCARE ,Cefuroxime 500 MG,
CEFRACE 500MG TABLET ,SANTIAGO LIFE SCIENCES PVT LTD ,Cefuroxime 500 MG,
CEFROXIM 500MG TABLET ,BIOLOGICAL E LIMITED ,Cefuroxime 500 MG,
CEFROBACT 500MG TABLET ,ABIA PHARMA ,Cefuroxime 500 MG,
CEFSAFE 500MG TABLET ,KHANDELWAL LABORATORIES PVT LTD ,Cefuroxime 500 MG,
 CEFSTAL 500MG TABLET ,STALLION LABORATORIES ,Cefuroxime 500 MG,
CEFTUM 500MG TABLET ,GLAXO ,Cefuroxime 500 MG,
CEFT 500MG TABLET ,SYSTEMIC HEALTHCARE ,Cefuroxime 500 MG,
CEFTONIL 500MG TABLET ,ALLITES LIFESCIENCES PVT LTD ,Cefuroxime 500 MG,
CEFTIL 500MG TABLET ,INSTANT REMEDIES PVT LTD ,Cefuroxime 500 MG,
CEFTIRAX 500MG TABLET ,RAX HEALTH CARE PVT LTD ,Cefuroxime 500 MG,
CEFTAL 500MG TABLET ,TALENT HEALTHCARE ,Cefuroxime 500 MG,
CEFTECH 500MG TABLET ,INNOVA FORMULATIONS PVT LTD ,Cefuroxime 500 MG,
CEFTALIN O 500MG TABLET ,LINCOLN PHARMACEUTICALS ,Cefuroxime 500 MG,
CEFTAZ 500MG TABLET ,CIPLA ,Cefuroxime 500 MG,
CEFURICA 500MG TABLET ,SPANKER BIOTECH ,Cefuroxime 500 MG,
CEFUWILL 500MG TABLET ,MEDIWILL LIFE SCIENCES ,Cefuroxime 500 MG,
CEFUNIS 500MG TABLET ,NEISS LABS LTD ,Cefuroxime 500 MG,
CEFUMAX 500MG TABLET ,BIOSANS LIFECARE ,Cefuroxime 500 MG,
CEFUGRAM 500MG TABLET ,APCO PHARMA LTD ,Cefuroxime 500 MG,
CEFUKO 500MG TABLET ,ATHIKO LIFESCIENCES ,Cefuroxime 500 MG,
CEFUGRACE 500MG TABLET ,SUNGRACE PHARMA ,Cefuroxime 500 MG,
CEFUSYM 500MG TABLET ,SYMBIOSIS PHARMA ,Cefuroxime 500 MG,
CEFUTIC 500MG TABLET ,ARION HEALTHCARE ,Cefuroxime 500 MG,
CEFURACE 500MG TABLET ,ACE REMEDIES PVT LTD ,Cefuroxime 500 MG,
 CEFUWAL 500MG TABLET ,WALLACE ,Cefuroxime 500 MG,
CEFUDEN 500MG TABLET ,WELGENIC PHARMA ,Cefuroxime 500 MG,
CEFUWON 500MG TABLET ,WONDER HEALTHCARE ,Cefuroxime 500 MG,
CEFUTAB O 500MG TABLET ,SANJIVANI PARANTERAL LTD ,Cefuroxime 500 MG,
CEFUMADE 500MG TABLET ,REXION HEATHCARE PVT LTD ,Cefuroxime 500 MG,
CEFUKIT 500MG TABLET ,PRIME CURE ,Cefuroxime 500 MG,
CEFUNIK 500MG TABLET ,NAOMI LABS ,Cefuroxime 500 MG,
CEFUNA 500MG TABLET ,SARIAN HEALTHCARE ,Cefuroxime 500 MG,
CEFURIN 500MG TABLET ,INVISION MEDISCIENCE ,Cefuroxime 500 MG,
CEFU 500MG CAPSULE ,JANTEC PHARMA ,Cefuroxime 500 MG,
CEFUZACT 500MG TABLET ,ZANETAZ MEDICORP ,Cefuroxime 500 MG,
CEFUTER 500MG TABLET ,RB PHARMACEUTICALS ,Cefuroxime 500 MG,
CEFULOR 500MG TABLET ,EDURA PHARMA ,Cefuroxime 500 MG,
CEFUROCK 500MG TABLET ,EL DORADO BIO TECH PVT LTD ,Cefuroxime 500 MG,
CEFULIN 500MG TABLET ,EMENOX HEALTHCARE ,Cefuroxime 500 MG,
CEFURIM 500MG TABLET ,SOMATEC PHARMACEUTICALS PVT LTD ,Cefuroxime 500 MG,
CEFUMEX 500MG TABLET ,EXCELLA ,Cefuroxime 500 MG,
CEFUFIT 500MG TABLET ,FITWEL PHARMA ,Cefuroxime 500 MG,
CEFUACT 500MG TABLET ,MEDICO HEALTHCARE ,Cefuroxime 500 MG,
CEFUFINE 500MG TABLET ,BIOCELL PHARMA ,Cefuroxime 500 MG,
 CEFYBOND 500MG TABLET ,BRINTON PHARMA ,Cefuroxime 500 MG,
CEFZIM 500MG TABLET ,ZEE LABORATORIES LTD ,Cefuroxime 500 MG,
CEF VEPAN 500MG TABLET ,INDOCO REMEDIES LTD ,Cefuroxime 500 MG,
CEF VEPAN 500 TABLET ,INDOCO REMEDIES LTD ,Cefuroxime 500 MG,
CEF BET 500MG TABLET ,ZYPHARS PHARMACEUTICS PVT LTD ,Cefuroxime 500 MG,
CEMAX T 500MG TABLET ,WAN BURRY ,Cefuroxime 500 MG,
CEMETIL 500MG TABLET ,AH PHARMACEUTICALS ,Cefuroxime 500 MG,
CEPHAZONE 500MG CAPSULE ,INNOVATIVE PHARMA ,Cefuroxime 500 MG,
CEROM 500MG TABLET ,ABBOTT ,Cefuroxime 500 MG,
CEROXIM 500MG TABLET ,RANBAXY ,Cefuroxime 500 MG,
CEROXITUM 500MG TABLET ,INTAS PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
CERO 500MG TABLET ,ACME PHARMA ,Cefuroxime 500 MG,
CESAVESS 500MG TABLET ,PFIZER LIMITED ,Cefuroxime 500 MG,
CEUROX 500MG TABLET ,MEDLEY ,Cefuroxime 500 MG,
CEXTIL 500MG TABLET ,MAN COP REMEDIES ,Cefuroxime 500 MG,
CFR 500MG TABLET ,ARBRO ,Cefuroxime 500 MG,
CIFAXT 500MG TABLET ,BIOPHAR LIFESCIENCES ,Cefuroxime 500 MG,
CIFLEY RX 500MG TABLET ,NOVALIFE HEALTHCARE ,Cefuroxime 500 MG,
CIPCEF 500MG TABLET ,VATICAN LIFE SCIENCES PVT LTD ,Cefuroxime 500 MG,
CIPHAHEAD 500MG TABLET ,LYKA LABS LTD ,Cefuroxime 500 MG,
 CLASITIL 500MG TABLET ,GRANDCURE HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
CLAVENTIA 500MG TABLET ,AKUMENTIS HEALTHCARE LTD ,Cefuroxime 500 MG,
CLOBARIUM 500MG TABLET ,DYCINE PHARMA ,Cefuroxime 500 MG,
CETIL 500MG TABLET ,LUPIN LTD ,Cefuroxime 500 MG,
CEFOMOX 500MG TABLET ,ABENAVA MEDIPHARMA PVT LTD ,Cefuroxime 500 MG,
GRAMFU 500MG TABLET ,INDIAN DRUGS ,Cefuroxime 500 MG,
GREATUM 500MG TABLET ,BIOCHEM ,Cefuroxime 500 MG,
HAPPYCEF 500MG TABLET ,RONYD PHARMA ,Cefuroxime 500 MG,
HIGHCEF 500MG TABLET ,THEMIS MEDICARE ,Cefuroxime 500 MG,
HINDCEFF 500MG CAPSULE ,HEBERT BIOTECH ,Cefuroxime 500 MG,
IFLACEF 500MG TABLET ,CANDOR BIOTECH LIMITED ,Cefuroxime 500 MG,
INHICEF 500MG TABLET ,AALTRA MED HEALTHCARE LIMITED ,Cefuroxime 500 MG,
INIC 500MG TABLET ,CAREMED PHARMA ,Cefuroxime 500 MG,
IVATIL 500MG TABLET ,IVA HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
JECTOCEF 500MG INJECTION ,TRIDENT ,Cefuroxime 500 MG,
JUSCEFAXEE 500MG TABLET ,ORGUS HEALTHCARE ,Cefuroxime 500 MG,
J CEF 500MG TABLET ,JP BIOTECH ,Cefuroxime 500 MG,
KAIRCEF 500MG TABLET ,PDC HEALTHCARE ,Cefuroxime 500 MG,
KANIXIME 500MG TABLET ,MEDILENTE PHARMA ,Cefuroxime 500 MG,
KEFTIL 500MG TABLET ,WINMARK PHARMA ,Cefuroxime 500 MG,
 KEFTEL 500MG TABLET ,BICON HEALTHCARE ,Cefuroxime 500 MG,
KINCEF 500MG TABLET ,PLUS INDIA ,Cefuroxime 500 MG,
LEWISEF 500MG TABLET ,LEWIS BIOSERCH PHARMA PVT LTD ,Cefuroxime 500 MG,
L TUM 500MG TABLET ,LEXUS ORGANIC ,Cefuroxime 500 MG,
JOSPAR 500MG TABLET ,DR JOHNS LABS ,Cefuroxime 500 MG,
JOXCY 500MG TABLET ,DR JOHNS LABS ,Cefuroxime 500 MG,
GRAM 500MG TABLET ,IDOL BIOTEC ,Cefuroxime 500 MG,
NAXIM 500MG TABLET ,INDIAN DRUGS ,Cefuroxime 500 MG,
NEROXIM 500MG TABLET ,NITIN LIFESCIENCES ,Cefuroxime 500 MG,
NOVACEF 500MG TABLET ,CIPLA ,Cefuroxime 500 MG,
NOVAROXIM 500MG TABLET ,RADICURA PHARMA PVT LTD ,Cefuroxime 500 MG,
NOVOCEFT 500MG TABLET ,NBLS PHARMA ,Cefuroxime 500 MG,
NU ROXIM 500MG TABLET ,NUWILL BIOTECH PVTLTD ,Cefuroxime 500 MG,
OAFURO 500MG TABLET ,YESTER PHARMA PVT LTD ,Cefuroxime 500 MG,
OCEF 500MG TABLET ,GUJARAT TERCE LABORATORIES ,Cefuroxime 500 MG,
MAC CEF 500MG TABLET ,MILIMAX HEALTH CARE ,Cefuroxime 500 MG,
MAGNA 500MG TABLET ,VENSAT BIO ,Cefuroxime 500 MG,
MANOXIME 500MG TABLET ,MAAN PHARMA ,Cefuroxime 500 MG,
MAPTUM 500MG TABLET ,MHL FORMULATION ,Cefuroxime 500 MG,
MAVXIME 500MG TABLET ,MAVERICK PHARMA ,Cefuroxime 500 MG,
 MAXIM 500MG TABLET ,MERIDIAN MEDICARE LTD ,Cefuroxime 500 MG,
MEDOXIL 500MG TABLET ,MEDOPHARM ,Cefuroxime 500 MG,
MILCEF 500MG TABLET ,COMED CHEMICALS ,Cefuroxime 500 MG,
MORCEF 500MG TABLET ,SHINTO ORGANICS ,Cefuroxime 500 MG,
MOTOCEF 500MG TABLET ,INTRA LIFE ,Cefuroxime 500 MG,
MOVACEF 500MG TABLET ,MOVA PHARMACEUTICALS ,Cefuroxime 500 MG,
OLTUM 500MG TABLET ,OLCARE LABORATORIES ,Cefuroxime 500 MG,
ORATIL 500MG TABLET ,MACLEODS PHARMACEUTICALS LTD ,Cefuroxime 500 MG,
OROXIM 500MG TABLET ,FOCUS LABS ,Cefuroxime 500 MG,
PDCEF 500MG TABLET ,PHARMA DRUGS AND CHEMICALS ,Cefuroxime 500 MG,
PEROX 500MG TABLET ,PEBBLE PHARMA ,Cefuroxime 500 MG,
PHOX 500MG CAP CAPSULE ,LABCORP INDIA PVT LTD ,Cefuroxime 500 MG,
PULMOCEF 500MG TABLET ,MICRO LABS LIMITED ,Cefuroxime 500 MG,
OXIZIM 500MG TABLET ,BIOCHEMIX HEALTHCARE PVT LTD ,Cefuroxime 500 MG,
REFURO 500MG TABLET ,REGALIA PHARMA ,Cefuroxime 500 MG,
REOX 500MG TABLET ,REZICURE PHARMA ,Cefuroxime 500 MG,
RESTUM 500MG TABLET ,GALPHA LABORATORIES ,Cefuroxime 500 MG,
STHICO 500MG TABLET ,DR JOHNS LABS ,Cefuroxime 500 MG,
RHYCEF 500MG TABLET ,RHYTHM MEDICARE ,Cefuroxime 500 MG,
RIGHTCEF 500MG TABLET ,INNOVEXIA LIFE SCIENCES PVT LTD ,Cefuroxime 500 MG,
 RIVOCEFT 500MG TABLET ,EAST AFRICAN ,Cefuroxime 500 MG,
RIXIME 500MG TABLET ,RISHAB HEALTHCARE ,Cefuroxime 500 MG,
ROCEF 500MG TABLET ,TOTAL HEALTHCARE ,Cefuroxime 500 MG,
ROCKTIL 500MG TABLET ,GLENWOOD BIOTECH PVT LIMITED ,Cefuroxime 500 MG,
ROXCEFA 500MG TABLET ,WONDER HEALTHCARE ,Cefuroxime 500 MG,
ROXINAZ 500MG TABLET ,MEDIEZ ,Cefuroxime 500 MG,
ROXINES 500MG TABLET ,FITWEL PHARMA ,Cefuroxime 500 MG,
